Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Cause_of_accident,Accident_severity,Accident_Hour,Time_Period,High_Risk_Weather,Vehicles_Category,Casualties_Category
Sunday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,Unkown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1.0,Going straight,na,na,na,na,Moving Backward,Slight Injury,10,Morning,0,Medium,Low
Saturday,Over 51,Male,Unknown,Other,5-10yr,Lorry (41?100Q),Owner,Unknown,Unkown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,3.0,Going straight,Driver or rider,Female,18-30,3,Moving Backward,Slight Injury,13,Afternoon,0,Medium,Medium
Saturday,31-50,Male,High school,Employee,2-5yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,3.0,Moving Backward,Passenger,Female,31-50,3,Overtaking,Slight Injury,13,Afternoon,0,Medium,Medium
Saturday,31-50,Male,Junior high school,Employee,1-2yr,Public (13?45 seats),Owner,Unknown,Unkown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,3.0,Going straight,Passenger,Female,Over 51,3,Driving carelessly,Slight Injury,13,Afternoon,0,Medium,Medium
Saturday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,Unkown,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,3.0,Going straight,Passenger,Female,18-30,3,Changing lane to the left,Slight Injury,13,Afternoon,0,Medium,Medium
Friday,31-50,Male,Junior high school,Employee,2-5yr,Other,Owner,2-5yrs,Unkown,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,2.0,Going straight,na,na,na,na,Driving under the influence of drugs,Slight Injury,13,Afternoon,0,Medium,Low
Friday,18-30,Male,Junior high school,Employee,No Licence,Other,Owner,Unknown,Unkown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,2,2.0,Going straight,na,na,na,na,No distancing,Slight Injury,13,Afternoon,0,Medium,Low
Friday,18-30,Male,Junior high school,Employee,Above 10yr,Other,Owner,5-10yrs,Unkown,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,2,2.0,Moving Backward,Driver or rider,Male,31-50,3,Moving Backward,Slight Injury,13,Afternoon,0,Medium,Low
Friday,Under 18,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,Unkown,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Changing lane to the left,Slight Injury,18,Evening,1,Medium,Low
Friday,18-30,Male,Junior high school,Employee,5-10yr,Other,Owner,Unknown,Unkown,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1.0,Other,Driver or rider,Male,18-30,3,Changing lane to the right,Slight Injury,18,Evening,1,Medium,Low
Tuesday,Unknown,Male,High school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,Unkown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,1.0,Other,Driver or rider,Male,Over 51,3,No distancing,Serious Injury,20,Evening,0,Medium,Low
Tuesday,18-30,Male,High school,Owner,2-5yr,Public (12 seats),Owner,Unknown,Unkown,Other,other,Tangent road with flat terrain,Y Shape,Gravel roads,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,31-50,3,Driving at high speed,Serious Injury,20,Evening,0,Medium,Low
Tuesday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,5-10yrs,Unkown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - no lighting,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Changing lane to the right,Serious Injury,20,Evening,0,Medium,Low
Thursday,31-50,Male,Junior high school,Owner,Above 10yr,Public (12 seats),Owner,Unknown,Unkown,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,18-30,3,No priority to vehicle,Slight Injury,15,Afternoon,0,Medium,Low
Saturday,Over 51,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with mountainous terrain and,Other,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,18-30,3,No distancing,Slight Injury,19,Evening,0,Medium,Low
Saturday,Under 18,Male,Elementary school,Employee,2-5yr,Other,Owner,2-5yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Other,na,na,na,na,Turnover,Slight Injury,19,Evening,0,Medium,Low
Saturday,Unknown,Female,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Pedestrian,Female,18-30,2,No distancing,Slight Injury,18,Evening,0,Medium,Low
Saturday,31-50,Male,Unknown,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Getting off,Pedestrian,Male,31-50,2,Changing lane to the right,Slight Injury,18,Evening,0,Medium,Low
Thursday,Under 18,Male,Elementary school,Employee,5-10yr,Public (> 45 seats),Owner,Above 10yr,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Other,2,1.0,Going straight,Driver or rider,Male,31-50,3,No distancing,Slight Injury,16,Afternoon,0,Medium,Low
Thursday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Governmental,Below 1yr,No defect,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Changing lane to the left,Slight Injury,16,Afternoon,0,Medium,Low
Thursday,31-50,Male,Elementary school,Employee,Below 1yr,Other,Owner,Unknown,No defect, Church areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Collision with roadside objects,2,1.0,Going straight,Driver or rider,Male,5,3,Driving carelessly,Slight Injury,16,Afternoon,0,Medium,Low
Thursday,Over 51,Male,Junior high school,Employee,Below 1yr,Other,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Changing lane to the right,Slight Injury,16,Afternoon,0,Medium,Low
Saturday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Cloudy,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,18-30,2,No priority to vehicle,Slight Injury,13,Afternoon,0,Medium,Low
Tuesday,Unknown,Female,Junior high school,Owner,5-10yr,Lorry (41?100Q),Owner,Unknown,Unkown,Residential areas,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,No distancing,Slight Injury,12,Afternoon,1,Medium,Low
Sunday,18-30,Male,High school,Owner,5-10yr,Pick up upto 10Q,Owner,Unknown,No defect,School areas,other,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Moving Backward,Driver or rider,Male,18-30,3,No priority to pedestrian,Slight Injury,11,Morning,0,Medium,Low
Sunday,Over 51,Male,Junior high school,Employee,5-10yr,Automobile,Owner,1-2yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,No priority to pedestrian,Slight Injury,11,Morning,0,Medium,Low
Sunday,Unknown,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Above 10yr,No defect,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Other,Driver or rider,Female,18-30,3,No priority to vehicle,Slight Injury,11,Morning,0,Medium,Low
Sunday,Unknown,Male,Elementary school,Employee,5-10yr,Other,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1.0,Going straight,na,na,na,na,Changing lane to the left,Slight Injury,11,Morning,0,Medium,Low
Wednesday,Unknown,Male,Junior high school,Employee,2-5yr,Automobile,Organization,2-5yrs,Unkown,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1.0,Going straight,na,na,na,na,Changing lane to the left,Slight Injury,17,Evening,0,Medium,Low
Wednesday,31-50,Unknown,Junior high school,Employee,Below 1yr,Stationwagen,Owner,Unknown,Unkown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,31-50,3,No distancing,Slight Injury,17,Evening,0,Medium,Low
Friday,31-50,Male,Elementary school,Employee,2-5yr,Other,Owner,5-10yrs,Unkown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Wet or damp,Daylight,Normal,Collision with roadside objects,2,2.0,Going straight,na,na,na,na,No priority to vehicle,Slight Injury,13,Afternoon,0,Medium,Low
Friday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,2,2.0,Unknown,Driver or rider,Male,31-50,3,No distancing,Slight Injury,13,Afternoon,0,Medium,Low
Wednesday,Unknown,Male,Junior high school,Employee,2-5yr,Ridden horse,Owner,2-5yrs,No defect, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Moving Backward,na,na,na,na,No distancing,Slight Injury,8,Morning,0,Medium,Low
Monday,Under 18,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Unknown,Driver or rider,Male,18-30,3,Changing lane to the right,Slight Injury,8,Morning,0,Medium,Low
Monday,Unknown,Male,Junior high school,Employee,5-10yr,Other,Owner,Unknown,Unkown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1.0,Going straight,na,na,na,na,Changing lane to the left,Slight Injury,8,Morning,0,Medium,Low
Friday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Above 10yr,Unkown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,31-50,3,No distancing,Slight Injury,9,Morning,0,Medium,Low
Friday,31-50,Male,Junior high school,Owner,5-10yr,Lorry (41?100Q),Owner,Unknown,Unkown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Unknown,Driver or rider,Male,5,2,Overturning,Slight Injury,9,Morning,0,Medium,Low
Thursday,Over 51,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Company,Unknown,Unkown, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Pedestrian,Male,18-30,3,No priority to vehicle,Slight Injury,13,Afternoon,0,Medium,Low
Thursday,Unknown,Female,Junior high school,Employee,Below 1yr,Stationwagen,Owner,Unknown,Unkown,Office areas,other,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,18-30,3,Moving Backward,Slight Injury,13,Afternoon,0,Medium,Low
Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Unknown,Unkown,Residential areas,other,Tangent road with flat terrain,T Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2.0,Going straight,Pedestrian,Male,18-30,3,Driving under the influence of drugs,Slight Injury,13,Afternoon,0,Medium,Low
Wednesday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Unknown,No defect,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,T Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2.0,Going straight,Pedestrian,Male,31-50,3,Moving Backward,Slight Injury,13,Afternoon,0,Medium,Low
Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Governmental,5-10yrs,Unkown,Other,other,Tangent road with flat terrain,T Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,2.0,Going straight,Pedestrian,Female,31-50,3,Changing lane to the right,Slight Injury,13,Afternoon,0,Medium,Low
Thursday,Under 18,Male,Junior high school,Employee,Below 1yr,Pick up upto 10Q,Owner,Unknown,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Other,Earth roads,Wet or damp,Daylight,Snow,Vehicle with vehicle collision,2,2.0,Going straight,na,na,na,na,Overspeed,Slight Injury,12,Afternoon,1,Medium,Low
Thursday,31-50,Male,Junior high school,Employee,2-5yr,Taxi,Owner,Unknown,No defect,Other,One way,Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Snow,Collision with roadside objects,2,2.0,Going straight,Driver or rider,Male,31-50,2,Driving under the influence of drugs,Slight Injury,12,Afternoon,1,Medium,Low
Thursday,Over 51,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,2.0,Other,Driver or rider,Male,18-30,3,Driving carelessly,Slight Injury,8,Morning,0,Medium,Low
Thursday,31-50,Male,Elementary school,Employee,5-10yr,Automobile,Owner,5-10yrs,Unkown, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,2.0,Going straight,na,na,na,na,No distancing,Slight Injury,8,Morning,0,Medium,Low
Thursday,31-50,Male,Junior high school,Owner,Below 1yr,Automobile,Owner,Unknown,Unkown,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,2.0,Going straight,Driver or rider,Male,18-30,3,No priority to vehicle,Slight Injury,8,Morning,0,Medium,Low
Friday,Unknown,Male,Junior high school,Employee,Below 1yr,Long lorry,Owner,Unknown,Unkown,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Overspeed,Slight Injury,8,Morning,0,Medium,Low
Friday,31-50,Male,Writing & reading,Employee,Below 1yr,Public (12 seats),Organization,5-10yrs,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1.0,Going straight,Driver or rider,Male,31-50,3,Driving under the influence of drugs,Slight Injury,8,Morning,0,Medium,Low
Thursday,Unknown,Male,Junior high school,Employee,1-2yr,Pick up upto 10Q,Organization,2-5yrs,No defect,Other,Undivided Two way,Tangent road with mountainous terrain and,No junction,Gravel roads,Dry,Daylight,Other,Vehicle with vehicle collision,2,1.0,Going straight,na,na,na,na,Changing lane to the right,Slight Injury,18,Evening,0,Medium,Low
